RULE_ID,RULE_NAME,DESCRIPTION,THRESHOLD,STATUS
1,Down-sized high-level paradigm,Beat laugh question traditional mention.,2806.55,INACTIVE
2,Expanded motivating workforce,Same north candidate woman because.,2850.8,ACTIVE
3,Horizontal contextually-based paradigm,Lay authority contain leave turn run question tell.,1504.81,ACTIVE
4,Cross-platform asymmetric encoding,Relationship eye any practice poor national.,4969.05,ACTIVE
5,Fundamental impactful strategy,Responsibility discussion must.,3211.16,ACTIVE
6,Pre-emptive eco-centric help-desk,Speech range work.,3655.92,ACTIVE
7,Down-sized zero-defect system engine,My take good player key.,1121.78,ACTIVE
8,Reduced didactic toolset,Machine firm reason clear.,1324.16,ACTIVE
9,Managed next generation monitoring,Gun place force Mr growth.,1853.83,ACTIVE
10,Future-proofed bi-directional portal,Traditional back more board part.,4412.43,INACTIVE
11,Multi-layered solution-oriented database,Development wall crime ready worker.,2859.69,INACTIVE
12,Universal content-based paradigm,Tough themselves capital white view plan.,4860.75,ACTIVE
13,User-friendly zero-defect policy,Man general condition bar.,3784.74,ACTIVE
14,Realigned directional analyzer,Strategy area interview southern rather.,4054.94,ACTIVE
15,Upgradable mobile instruction set,College political Mr light tonight message friend.,3492.27,ACTIVE
16,Fundamental contextually-based complexity,Yes research cold whom direction yard.,2923.18,ACTIVE
17,Persevering static challenge,None cover meeting account.,1319.74,INACTIVE
18,Enterprise-wide asynchronous Local Area Network,Leave open under less magazine despite.,3894.82,ACTIVE
19,Profound homogeneous approach,Rise room blood at provide other.,2243.97,ACTIVE
20,Optional well-modulated success,Computer total edge on.,3305.4,ACTIVE
21,User-friendly demand-driven challenge,Blood area develop significant school involve government.,875.6,INACTIVE
22,Robust zero tolerance algorithm,West treatment energy if pressure.,3756.21,ACTIVE
23,Operative asynchronous encoding,Scientist response choose into growth admit sure rather.,454.26,ACTIVE
24,Programmable homogeneous circuit,Book half cut agree million base.,4172.9,INACTIVE
25,Business-focused intermediate matrices,Brother quickly service institution cover.,4266.5,INACTIVE
26,Expanded non-volatile process improvement,Why institution ability.,1822.87,ACTIVE
27,Compatible asynchronous project,Sing from else effect that.,3358.3,ACTIVE
28,Reverse-engineered exuding projection,Opportunity from down everything industry enter guess.,1101.82,ACTIVE
29,Robust composite methodology,Marriage reveal indicate somebody to.,1176.34,ACTIVE
30,Seamless tangible alliance,Personal they season between dog.,818.01,ACTIVE
31,Diverse 4thgeneration toolset,Authority level significant.,2947.42,INACTIVE
32,Extended empowering budgetary management,Indicate within someone low rate itself.,2748.55,ACTIVE
33,Switchable systematic capability,Happy boy score expect cultural.,2105.77,INACTIVE
34,Devolved discrete groupware,News it newspaper night walk major board.,4258.13,ACTIVE
35,Advanced demand-driven challenge,Up democratic for knowledge phone account.,4967.9,ACTIVE
36,Fully-configurable composite middleware,Modern the minute do both their sing.,4280.88,INACTIVE
37,Re-contextualized 24/7 hardware,Head attorney watch week arm.,4103.88,ACTIVE
